P1,P2,Output
"('Type', 'Used')","('VIN', 'A9FGFF8ST43CEFJ3Y')",T237890
"('Type', 'Used')","('Year', 2019)",T237890
"('Type', 'Used')","('Make', 'Mazda')",T237890
"('Type', 'Used')","('Model', 'CX-9')",T237890
"('Type', 'Used')","('Body', 'Sport Utility')",T237890
"('Type', 'Used')","('ModelNumber', 'MACX-VF899A')",T237890
"('Type', 'Used')","('Doors', 4)",T237890
"('Type', 'Used')","('ExteriorColor', 'Snowflake White Pearl Mica')",T237890
"('Type', 'Used')","('InteriorColor', 'Auburn')",T237890
"('Type', 'Used')","('EngineCylinders', 4.0)",T237890
"('Type', 'Used')","('EngineDisplacement', '2.5 L')",T237890
"('Type', 'Used')","('Transmission', 'Automatic')",T237890
"('Type', 'Used')","('Miles', 60081)",T237890
"('Type', 'Used')","('SellingPrice', 18498)",T237890
"('Type', 'Used')","('MSRP', 0)",T237890
"('Type', 'Used')","('BookValue', 18498)",T237890
"('Type', 'Used')","('Invoice', 0)",T237890
"('Type', 'Used')","('Certified', False)",T237890
"('Type', 'Used')","('Options', 'Navigation System,12 Speakers,Aha Internet Radio,AM/FM radio: SiriusXM,Infotainment System Voice Command,Pandora Internet Radio,Radio Broadcast Data System Program Information,Radio data system,Radio: AM/FM Sound System w/Bose Audio,SiriusXM Satellite Radio,Stitcher Internet Radio,Air Conditioning,Automatic temperature control,Front dual zone A/C,Rear air conditioning,Rear window defroster,Heads-Up Display,Memory seat,Power driver seat,Power steering,Power windows,Remote keyless entry,Steering wheel mounted audio controls,Four wheel independent suspension,Speed-sensing steering,Traction control,4-Wheel Disc Brakes,ABS brakes,Dual front impact airbags,Dual front side impact airbags,Emergency communication system: MAZDA CONNECT,Front anti-roll bar,Low tire pressure warning,Occupant sensing airbag,Overhead airbag,Rear anti-roll bar,Power moonroof,Power Liftgate,Brake assist,Electronic Stability Control,Auto High-beam Headlights,Delay-off headlights,Front fog lights,Fully automatic headlights,Panic alarm,Speed control,Bumpers: body-color,Heated door mirrors,Power door mirrors,Roof rack: rails only,Spoiler,Turn signal indicator mirrors,AppLink/Apple CarPlay and Android Auto,Auto-dimming Rear-View mirror,Compass,Driver door bin,Driver vanity mirror,E911 Automatic Emergency Notification,Front reading lights,Garage door transmitter: HomeLink,Genuine wood door panel insert,Heated steering wheel,Heated/Ventilated Front Bucket Seats,Illuminated entry,Leather Shift Knob,Leather steering wheel,Mazda Navigation System,Outside temperature display,Overhead console,Passenger vanity mirror,Rear reading lights,Rear seat center armrest,SMS Text Msg Audio Delivery & Reply,Tachometer,Telescoping steering wheel,Tilt steering wheel,Trip computer,3rd row seats: bench,Front Bucket Seats,Front Center Armrest,Heated rear seats,Heated REAR seats,Nappa Leather-Trimmed Seats,Power passenger seat,Split folding rear seat,Ventilated front seats,Passenger door bin,Alloy wheels,Wheels: 20 x 8.5J Aluminum Alloy,Rain sensing wipers,Rear window wiper,Variably intermittent wipers,Axle Ratio: 4.411,SNOWFLAKE WHITE PEARL MICA,AUBURN  NAPPA LEATHER-TRIMMED SEATS  -inc: 1st and 2nd row outboard seating positions,Turbocharged,All Wheel Drive,Power Steering,ABS,4-Wheel Disc Brakes,Brake Assist,Brake Actuated Limited Slip Differential,Aluminum Wheels,Tires - Front Performance,Tires - Rear Performance,Temporary Spare Tire,Sun/Moonroof,Generic Sun/Moonroof,Heated Mirrors,Power Mirror(s),Integrated Turn Signal Mirrors,Power Folding Mirrors,Rear Defrost,Privacy Glass,Intermittent Wipers,Variable Speed Intermittent Wipers,Rain Sensing Wipers,Rear Spoiler,Remote Trunk Release,Power Liftgate,Power Door Locks,Automatic Highbeams,Daytime Running Lights,Automatic Headlights,Headlights-Auto-Leveling,LED Headlights,Fog Lamps,AM/FM Stereo,Premium Sound System,Satellite Radio,MP3 Capability,Bluetooth Connection,Auxiliary Audio Input,HD Radio,Smart Device Integration,Requires Subscription,Steering Wheel Audio Controls,Satellite Radio,HD Radio,Requires Subscription,Power Driver Seat,Power Passenger Seat,Bucket Seats,Heated Front Seat(s),Driver Adjustable Lumbar,Seat Memory,Cooled Front Seat(s),Passenger Adjustable Lumbar,Pass-Through Rear Seat,Heated Rear Seat(s),Rear Bench Seat,Adjustable Steering Wheel,Trip Computer,Power Windows,3rd Row Seat,Leather Steering Wheel,Heated Steering Wheel,Keyless Entry,Power Door Locks,Keyless Start,Remote Trunk Release,Keyless Entry,Power Door Locks,Universal Garage Door Opener,Cruise Control,Adaptive Cruise Control,Climate Control,Multi-Zone A/C,A/C,A/C,Rear A/C,Leather Seats,Woodgrain Interior Trim,Auto-Dimming Rearview Mirror,Driver Vanity Mirror,Passenger Vanity Mirror,Driver Illuminated Vanity Mirror,Passenger Illuminated Visor Mirror,Floor Mats,Keyless Start,Telematics,Requires Subscription,Navigation System,Power Windows,Power Door Locks,Trip Computer,Heads-Up Display,Immobilizer,Traction Control,Stability Control,Traction Control,Front Side Air Bag,Blind Spot Monitor,Cross-Traffic Alert,Front Collision Mitigation,Lane Departure Warning,Lane Keeping Assist,Lane Departure Warning,Rear Parking Aid,Aerial View Display System,Tire Pressure Monitor,Driver Air Bag,Passenger Air Bag,Front Head Air Bag,Rear Head Air Bag,Passenger Air Bag Sensor,Child Safety Locks,Back-Up Camera')",T237890
"('Type', 'Used')","('Style_Description', 'Signature AWD')",T237890
"('Type', 'Used')","('Ext_Color_Generic', 'White')",T237890
"('Type', 'Used')","('Ext_Color_Code', '25D')",T237890
"('Type', 'Used')","('Int_Color_Code', 'TC5')",T237890
"('Type', 'Used')","('Int_Upholstery', '{feature')",T237890
"('Type', 'Used')","('Engine_Block_Type', 'I')",T237890
"('Type', 'Used')","('Engine_Aspiration_Type', 'Gasoline Direct Injection')",T237890
"('Type', 'Used')","('Engine_Description', 'Intercooled Turbo Regular Unleaded I-4 2.5 L/152')",T237890
"('Type', 'Used')","('Transmission_Speed', 6.0)",T237890
"('Type', 'Used')","('Transmission_Description', '6-Speed Automatic w/OD')",T237890
"('Type', 'Used')","('Drivetrain', 'AWD')",T237890
"('Type', 'Used')","('Fuel_Type', 'Gasoline Fuel')",T237890
"('Type', 'Used')","('CityMPG', 20.0)",T237890
"('Type', 'Used')","('HighwayMPG', 26.0)",T237890
"('Type', 'Used')","('EPAClassification', 'Small SUV 4WD')",T237890
"('Type', 'Used')","('Wheelbase_Code', 115.3)",T237890
"('Type', 'Used')","('Internet_Price', 0)",T237890
"('Type', 'Used')","('MarketClass', '4WD Sport Utility Vehicles')",T237890
"('Type', 'Used')","('PassengerCapacity', 7)",T237890
"('Type', 'Used')","('ExtColorHexCode', 'E7E8E8')",T237890
"('Type', 'Used')","('EngineDisplacementCubicInches', 152.0)",T237890
"('VIN', 'A9FGFF8ST43CEFJ3Y')","('Year', 2019)",T237890
"('VIN', 'A9FGFF8ST43CEFJ3Y')","('Make', 'Mazda')",T237890
"('VIN', 'A9FGFF8ST43CEFJ3Y')","('Model', 'CX-9')",T237890
"('VIN', 'A9FGFF8ST43CEFJ3Y')","('Body', 'Sport Utility')",T237890
"('VIN', 'A9FGFF8ST43CEFJ3Y')","('ModelNumber', 'MACX-VF899A')",T237890
"('VIN', 'A9FGFF8ST43CEFJ3Y')","('Doors', 4)",T237890
"('VIN', 'A9FGFF8ST43CEFJ3Y')","('ExteriorColor', 'Snowflake White Pearl Mica')",T237890
"('VIN', 'A9FGFF8ST43CEFJ3Y')","('InteriorColor', 'Auburn')",T237890
"('VIN', 'A9FGFF8ST43CEFJ3Y')","('EngineCylinders', 4.0)",T237890
"('VIN', 'A9FGFF8ST43CEFJ3Y')","('EngineDisplacement', '2.5 L')",T237890
"('VIN', 'A9FGFF8ST43CEFJ3Y')","('Transmission', 'Automatic')",T237890
"('VIN', 'A9FGFF8ST43CEFJ3Y')","('Miles', 60081)",T237890
"('VIN', 'A9FGFF8ST43CEFJ3Y')","('SellingPrice', 18498)",T237890
"('VIN', 'A9FGFF8ST43CEFJ3Y')","('MSRP', 0)",T237890
"('VIN', 'A9FGFF8ST43CEFJ3Y')","('BookValue', 18498)",T237890
"('VIN', 'A9FGFF8ST43CEFJ3Y')","('Invoice', 0)",T237890
"('VIN', 'A9FGFF8ST43CEFJ3Y')","('Certified', False)",T237890
"('VIN', 'A9FGFF8ST43CEFJ3Y')","('Options', 'Navigation System,12 Speakers,Aha Internet Radio,AM/FM radio: SiriusXM,Infotainment System Voice Command,Pandora Internet Radio,Radio Broadcast Data System Program Information,Radio data system,Radio: AM/FM Sound System w/Bose Audio,SiriusXM Satellite Radio,Stitcher Internet Radio,Air Conditioning,Automatic temperature control,Front dual zone A/C,Rear air conditioning,Rear window defroster,Heads-Up Display,Memory seat,Power driver seat,Power steering,Power windows,Remote keyless entry,Steering wheel mounted audio controls,Four wheel independent suspension,Speed-sensing steering,Traction control,4-Wheel Disc Brakes,ABS brakes,Dual front impact airbags,Dual front side impact airbags,Emergency communication system: MAZDA CONNECT,Front anti-roll bar,Low tire pressure warning,Occupant sensing airbag,Overhead airbag,Rear anti-roll bar,Power moonroof,Power Liftgate,Brake assist,Electronic Stability Control,Auto High-beam Headlights,Delay-off headlights,Front fog lights,Fully automatic headlights,Panic alarm,Speed control,Bumpers: body-color,Heated door mirrors,Power door mirrors,Roof rack: rails only,Spoiler,Turn signal indicator mirrors,AppLink/Apple CarPlay and Android Auto,Auto-dimming Rear-View mirror,Compass,Driver door bin,Driver vanity mirror,E911 Automatic Emergency Notification,Front reading lights,Garage door transmitter: HomeLink,Genuine wood door panel insert,Heated steering wheel,Heated/Ventilated Front Bucket Seats,Illuminated entry,Leather Shift Knob,Leather steering wheel,Mazda Navigation System,Outside temperature display,Overhead console,Passenger vanity mirror,Rear reading lights,Rear seat center armrest,SMS Text Msg Audio Delivery & Reply,Tachometer,Telescoping steering wheel,Tilt steering wheel,Trip computer,3rd row seats: bench,Front Bucket Seats,Front Center Armrest,Heated rear seats,Heated REAR seats,Nappa Leather-Trimmed Seats,Power passenger seat,Split folding rear seat,Ventilated front seats,Passenger door bin,Alloy wheels,Wheels: 20 x 8.5J Aluminum Alloy,Rain sensing wipers,Rear window wiper,Variably intermittent wipers,Axle Ratio: 4.411,SNOWFLAKE WHITE PEARL MICA,AUBURN  NAPPA LEATHER-TRIMMED SEATS  -inc: 1st and 2nd row outboard seating positions,Turbocharged,All Wheel Drive,Power Steering,ABS,4-Wheel Disc Brakes,Brake Assist,Brake Actuated Limited Slip Differential,Aluminum Wheels,Tires - Front Performance,Tires - Rear Performance,Temporary Spare Tire,Sun/Moonroof,Generic Sun/Moonroof,Heated Mirrors,Power Mirror(s),Integrated Turn Signal Mirrors,Power Folding Mirrors,Rear Defrost,Privacy Glass,Intermittent Wipers,Variable Speed Intermittent Wipers,Rain Sensing Wipers,Rear Spoiler,Remote Trunk Release,Power Liftgate,Power Door Locks,Automatic Highbeams,Daytime Running Lights,Automatic Headlights,Headlights-Auto-Leveling,LED Headlights,Fog Lamps,AM/FM Stereo,Premium Sound System,Satellite Radio,MP3 Capability,Bluetooth Connection,Auxiliary Audio Input,HD Radio,Smart Device Integration,Requires Subscription,Steering Wheel Audio Controls,Satellite Radio,HD Radio,Requires Subscription,Power Driver Seat,Power Passenger Seat,Bucket Seats,Heated Front Seat(s),Driver Adjustable Lumbar,Seat Memory,Cooled Front Seat(s),Passenger Adjustable Lumbar,Pass-Through Rear Seat,Heated Rear Seat(s),Rear Bench Seat,Adjustable Steering Wheel,Trip Computer,Power Windows,3rd Row Seat,Leather Steering Wheel,Heated Steering Wheel,Keyless Entry,Power Door Locks,Keyless Start,Remote Trunk Release,Keyless Entry,Power Door Locks,Universal Garage Door Opener,Cruise Control,Adaptive Cruise Control,Climate Control,Multi-Zone A/C,A/C,A/C,Rear A/C,Leather Seats,Woodgrain Interior Trim,Auto-Dimming Rearview Mirror,Driver Vanity Mirror,Passenger Vanity Mirror,Driver Illuminated Vanity Mirror,Passenger Illuminated Visor Mirror,Floor Mats,Keyless Start,Telematics,Requires Subscription,Navigation System,Power Windows,Power Door Locks,Trip Computer,Heads-Up Display,Immobilizer,Traction Control,Stability Control,Traction Control,Front Side Air Bag,Blind Spot Monitor,Cross-Traffic Alert,Front Collision Mitigation,Lane Departure Warning,Lane Keeping Assist,Lane Departure Warning,Rear Parking Aid,Aerial View Display System,Tire Pressure Monitor,Driver Air Bag,Passenger Air Bag,Front Head Air Bag,Rear Head Air Bag,Passenger Air Bag Sensor,Child Safety Locks,Back-Up Camera')",T237890
"('VIN', 'A9FGFF8ST43CEFJ3Y')","('Style_Description', 'Signature AWD')",T237890
"('VIN', 'A9FGFF8ST43CEFJ3Y')","('Ext_Color_Generic', 'White')",T237890
"('VIN', 'A9FGFF8ST43CEFJ3Y')","('Ext_Color_Code', '25D')",T237890
"('VIN', 'A9FGFF8ST43CEFJ3Y')","('Int_Color_Code', 'TC5')",T237890
"('VIN', 'A9FGFF8ST43CEFJ3Y')","('Int_Upholstery', '{feature')",T237890
"('VIN', 'A9FGFF8ST43CEFJ3Y')","('Engine_Block_Type', 'I')",T237890
"('VIN', 'A9FGFF8ST43CEFJ3Y')","('Engine_Aspiration_Type', 'Gasoline Direct Injection')",T237890
"('VIN', 'A9FGFF8ST43CEFJ3Y')","('Engine_Description', 'Intercooled Turbo Regular Unleaded I-4 2.5 L/152')",T237890
"('VIN', 'A9FGFF8ST43CEFJ3Y')","('Transmission_Speed', 6.0)",T237890
"('VIN', 'A9FGFF8ST43CEFJ3Y')","('Transmission_Description', '6-Speed Automatic w/OD')",T237890
"('VIN', 'A9FGFF8ST43CEFJ3Y')","('Drivetrain', 'AWD')",T237890
"('VIN', 'A9FGFF8ST43CEFJ3Y')","('Fuel_Type', 'Gasoline Fuel')",T237890
"('VIN', 'A9FGFF8ST43CEFJ3Y')","('CityMPG', 20.0)",T237890
"('VIN', 'A9FGFF8ST43CEFJ3Y')","('HighwayMPG', 26.0)",T237890
